INFO:absl:epoch:  1, train_loss: 2.0129, train_accuracy: 26.06, test_loss: 1.6575, test_accuracy: 40.93
INFO:absl:epoch: 18, train_loss: 0.2677, train_accuracy: 90.29, test_loss: 1.3557, test_accuracy: 66.42
INFO:absl:epoch: 19, train_loss: 0.2300, train_accuracy: 91.71, test_loss: 1.5235, test_accuracy: 66.25
INFO:absl:epoch: 20, train_loss: 0.2118, train_accuracy: 92.61, test_loss: 1.4765, test_accuracy: 66.78
INFO:absl:epoch: 21, train_loss: 0.1826, train_accuracy: 93.59, test_loss: 1.6038, test_accuracy: 66.72
/Users/wciezobka/agh/Semestr VII/MRO/lab03/TrainingCNN/training_cnn.py:185: RuntimeWarning: More than 20 figures have been opened. Figures created through the pyplot interface (`matplotlib.pyplot.figure`) are retained until explicitly closed and may consume too much memory. (To control this warning, see the rcParam `figure.max_open_warning`).
  fig, axes = plt.subplots(1, 2)
INFO:absl:epoch: 22, train_loss: 0.1613, train_accuracy: 94.29, test_loss: 1.6912, test_accuracy: 67.31
INFO:absl:epoch: 23, train_loss: 0.1579, train_accuracy: 94.45, test_loss: 1.6989, test_accuracy: 67.08
INFO:absl:epoch: 24, train_loss: 0.1368, train_accuracy: 95.11, test_loss: 1.8232, test_accuracy: 66.79
INFO:absl:epoch: 25, train_loss: 0.1273, train_accuracy: 95.57, test_loss: 1.8795, test_accuracy: 67.52
INFO:absl:epoch: 26, train_loss: 0.1180, train_accuracy: 95.81, test_loss: 1.9277, test_accuracy: 65.53
INFO:absl:epoch: 27, train_loss: 0.1101, train_accuracy: 96.13, test_loss: 1.8719, test_accuracy: 66.73
INFO:absl:epoch: 28, train_loss: 0.1031, train_accuracy: 96.32, test_loss: 1.9284, test_accuracy: 67.40
INFO:absl:epoch: 29, train_loss: 0.0862, train_accuracy: 97.04, test_loss: 2.0906, test_accuracy: 67.07
INFO:absl:epoch: 30, train_loss: 0.0825, train_accuracy: 97.15, test_loss: 2.0438, test_accuracy: 67.35
INFO:absl:epoch: 31, train_loss: 0.0800, train_accuracy: 97.23, test_loss: 2.1192, test_accuracy: 67.66
INFO:absl:epoch: 32, train_loss: 0.0717, train_accuracy: 97.43, test_loss: 2.2794, test_accuracy: 67.46
INFO:absl:epoch: 33, train_loss: 0.0701, train_accuracy: 97.55, test_loss: 2.1908, test_accuracy: 67.43
INFO:absl:epoch: 34, train_loss: 0.0733, train_accuracy: 97.38, test_loss: 2.0559, test_accuracy: 67.86
INFO:absl:epoch: 35, train_loss: 0.0673, train_accuracy: 97.65, test_loss: 2.1877, test_accuracy: 67.41
INFO:absl:epoch: 36, train_loss: 0.0709, train_accuracy: 97.53, test_loss: 2.3193, test_accuracy: 66.74
INFO:absl:epoch: 37, train_loss: 0.0628, train_accuracy: 97.80, test_loss: 2.1998, test_accuracy: 68.38
INFO:absl:epoch: 38, train_loss: 0.0577, train_accuracy: 98.00, test_loss: 2.3184, test_accuracy: 68.01
INFO:absl:epoch: 39, train_loss: 0.0538, train_accuracy: 98.17, test_loss: 2.2688, test_accuracy: 68.62
INFO:absl:epoch: 40, train_loss: 0.0523, train_accuracy: 98.24, test_loss: 2.3973, test_accuracy: 68.47
INFO:absl:epoch: 41, train_loss: 0.0559, train_accuracy: 98.12, test_loss: 2.3606, test_accuracy: 68.16
INFO:absl:epoch: 42, train_loss: 0.0491, train_accuracy: 98.37, test_loss: 2.4923, test_accuracy: 68.10
INFO:absl:epoch: 43, train_loss: 0.0489, train_accuracy: 98.32, test_loss: 2.5022, test_accuracy: 67.50
INFO:absl:epoch: 44, train_loss: 0.0415, train_accuracy: 98.58, test_loss: 2.6913, test_accuracy: 66.81
INFO:absl:epoch: 45, train_loss: 0.0391, train_accuracy: 98.65, test_loss: 2.6589, test_accuracy: 68.14
INFO:absl:epoch: 46, train_loss: 0.0513, train_accuracy: 98.25, test_loss: 2.5098, test_accuracy: 67.65
INFO:absl:epoch: 47, train_loss: 0.0408, train_accuracy: 98.64, test_loss: 2.5975, test_accuracy: 68.71
INFO:absl:epoch: 48, train_loss: 0.0427, train_accuracy: 98.57, test_loss: 2.7791, test_accuracy: 67.53
INFO:absl:epoch: 49, train_loss: 0.0346, train_accuracy: 98.81, test_loss: 2.6430, test_accuracy: 68.36
INFO:absl:epoch: 50, train_loss: 0.0394, train_accuracy: 98.72, test_loss: 2.7205, test_accuracy: 68.51
INFO:absl:epoch: 51, train_loss: 0.0426, train_accuracy: 98.55, test_loss: 2.6828, test_accuracy: 68.12
INFO:absl:epoch: 52, train_loss: 0.0331, train_accuracy: 98.86, test_loss: 2.8123, test_accuracy: 68.65
INFO:absl:epoch: 53, train_loss: 0.0376, train_accuracy: 98.77, test_loss: 2.7855, test_accuracy: 68.27
INFO:absl:epoch: 54, train_loss: 0.0355, train_accuracy: 98.81, test_loss: 2.7361, test_accuracy: 68.29
INFO:absl:epoch: 55, train_loss: 0.0325, train_accuracy: 98.91, test_loss: 2.6739, test_accuracy: 68.05
INFO:absl:epoch: 56, train_loss: 0.0369, train_accuracy: 98.83, test_loss: 2.8776, test_accuracy: 68.39
INFO:absl:epoch: 57, train_loss: 0.0256, train_accuracy: 99.15, test_loss: 2.7726, test_accuracy: 68.68
INFO:absl:epoch: 58, train_loss: 0.0308, train_accuracy: 99.01, test_loss: 2.6626, test_accuracy: 68.48
INFO:absl:epoch: 59, train_loss: 0.0235, train_accuracy: 99.23, test_loss: 2.9182, test_accuracy: 68.29
INFO:absl:epoch: 60, train_loss: 0.0258, train_accuracy: 99.13, test_loss: 2.8213, test_accuracy: 69.10
INFO:absl:epoch: 61, train_loss: 0.0307, train_accuracy: 98.95, test_loss: 2.8539, test_accuracy: 68.47
INFO:absl:epoch: 62, train_loss: 0.0274, train_accuracy: 99.08, test_loss: 2.7254, test_accuracy: 68.30
INFO:absl:epoch: 63, train_loss: 0.0294, train_accuracy: 99.02, test_loss: 2.8838, test_accuracy: 68.70
INFO:absl:epoch: 64, train_loss: 0.0239, train_accuracy: 99.17, test_loss: 2.9397, test_accuracy: 68.84
INFO:absl:epoch: 65, train_loss: 0.0232, train_accuracy: 99.21, test_loss: 2.9580, test_accuracy: 68.15
INFO:absl:epoch: 66, train_loss: 0.0356, train_accuracy: 98.82, test_loss: 2.8970, test_accuracy: 68.33
INFO:absl:epoch: 67, train_loss: 0.0281, train_accuracy: 99.04, test_loss: 2.7640, test_accuracy: 69.07
INFO:absl:epoch: 68, train_loss: 0.0198, train_accuracy: 99.34, test_loss: 2.8711, test_accuracy: 68.84
INFO:absl:epoch: 69, train_loss: 0.0225, train_accuracy: 99.26, test_loss: 3.1346, test_accuracy: 67.45
INFO:absl:epoch: 70, train_loss: 0.0222, train_accuracy: 99.28, test_loss: 3.1244, test_accuracy: 68.61
INFO:absl:epoch: 71, train_loss: 0.0306, train_accuracy: 99.01, test_loss: 2.9964, test_accuracy: 68.57
INFO:absl:epoch: 72, train_loss: 0.0263, train_accuracy: 99.16, test_loss: 2.9246, test_accuracy: 68.64
INFO:absl:epoch: 73, train_loss: 0.0307, train_accuracy: 98.98, test_loss: 2.8778, test_accuracy: 68.67
INFO:absl:epoch: 74, train_loss: 0.0189, train_accuracy: 99.40, test_loss: 2.9957, test_accuracy: 68.97
INFO:absl:epoch: 75, train_loss: 0.0196, train_accuracy: 99.33, test_loss: 2.9596, test_accuracy: 68.67
INFO:absl:epoch: 76, train_loss: 0.0288, train_accuracy: 99.04, test_loss: 3.0535, test_accuracy: 68.47
INFO:absl:epoch: 77, train_loss: 0.0191, train_accuracy: 99.39, test_loss: 3.2672, test_accuracy: 68.68
INFO:absl:epoch: 78, train_loss: 0.0312, train_accuracy: 98.98, test_loss: 2.8298, test_accuracy: 68.55
INFO:absl:epoch: 79, train_loss: 0.0274, train_accuracy: 99.06, test_loss: 3.0931, test_accuracy: 68.21
INFO:absl:epoch: 80, train_loss: 0.0256, train_accuracy: 99.19, test_loss: 3.0299, test_accuracy: 66.89
INFO:absl:epoch: 81, train_loss: 0.0177, train_accuracy: 99.39, test_loss: 3.0647, test_accuracy: 68.86
INFO:absl:epoch: 82, train_loss: 0.0155, train_accuracy: 99.48, test_loss: 3.1044, test_accuracy: 69.30
INFO:absl:epoch: 83, train_loss: 0.0151, train_accuracy: 99.51, test_loss: 3.4622, test_accuracy: 67.43
INFO:absl:epoch: 84, train_loss: 0.0162, train_accuracy: 99.47, test_loss: 3.1269, test_accuracy: 68.84
INFO:absl:epoch: 85, train_loss: 0.0149, train_accuracy: 99.53, test_loss: 3.2994, test_accuracy: 68.04
INFO:absl:epoch: 86, train_loss: 0.0274, train_accuracy: 99.13, test_loss: 3.0762, test_accuracy: 67.98
INFO:absl:epoch: 87, train_loss: 0.0293, train_accuracy: 99.08, test_loss: 3.1726, test_accuracy: 67.77
INFO:absl:epoch: 88, train_loss: 0.0260, train_accuracy: 99.16, test_loss: 3.0634, test_accuracy: 68.63
INFO:absl:epoch: 89, train_loss: 0.0190, train_accuracy: 99.39, test_loss: 3.2977, test_accuracy: 67.61
INFO:absl:epoch: 90, train_loss: 0.0190, train_accuracy: 99.39, test_loss: 3.2315, test_accuracy: 68.32
INFO:absl:epoch: 91, train_loss: 0.0230, train_accuracy: 99.30, test_loss: 2.9620, test_accuracy: 68.60
INFO:absl:epoch: 92, train_loss: 0.0263, train_accuracy: 99.08, test_loss: 3.0251, test_accuracy: 68.90
INFO:absl:epoch: 93, train_loss: 0.0156, train_accuracy: 99.48, test_loss: 3.1990, test_accuracy: 69.40
INFO:absl:epoch: 94, train_loss: 0.0111, train_accuracy: 99.65, test_loss: 3.1757, test_accuracy: 69.21
INFO:absl:epoch: 95, train_loss: 0.0148, train_accuracy: 99.55, test_loss: 3.2592, test_accuracy: 68.32
INFO:absl:epoch: 96, train_loss: 0.0223, train_accuracy: 99.27, test_loss: 3.1837, test_accuracy: 68.38
INFO:absl:epoch: 97, train_loss: 0.0207, train_accuracy: 99.30, test_loss: 3.3250, test_accuracy: 69.07
INFO:absl:epoch: 98, train_loss: 0.0123, train_accuracy: 99.57, test_loss: 3.3599, test_accuracy: 69.03
zsh: bus error  python training_cnn.py
